cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10,cls11,cls12,cls13,cls14,cls15,cls16,cls17,cls18,cls19,cls20
2098.074392,2096.434866,2009.594949,2070.003436,2050.77352,2046.46816,2039.460171,2192.777659,2162.178593,2242.44031,2098.074392,2096.434866,2009.594949,2070.003436,2050.77352,2046.46816,2039.460171,2192.777659,2162.178593,2242.44031
2585.017825,2659.797909,2459.428527,2598.719101,2579.900808,2545.935547,2607.592215,2620.080474,2543.168914,2553.241131,2585.017825,2659.797909,2459.428527,2598.719101,2579.900808,2545.935547,2607.592215,2620.080474,2543.168914,2553.241131
2711.482042,2623.534406,2529.772494,2687.451561,2678.888509,2690.714717,2677.87894,2630.845982,2644.181121,2768.838698,2711.482042,2623.534406,2529.772494,2687.451561,2678.888509,2690.714717,2677.87894,2630.845982,2644.181121,2768.838698
2580.562519,2834.146511,2697.315994,2626.193491,2760.324799,2724.612642,2566.721386,2828.562298,2522.619133,2535.871097,2580.562519,2834.146511,2697.315994,2626.193491,2760.324799,2724.612642,2566.721386,2828.562298,2522.619133,2535.871097
2574.468124,2691.699724,2604.983556,2793.061244,2781.012302,2682.391255,2655.243631,2696.510957,2729.951692,2671.5782,2574.468124,2691.699724,2604.983556,2793.061244,2781.012302,2682.391255,2655.243631,2696.510957,2729.951692,2671.5782
2743.165918,2641.068853,2591.223618,2889.705977,2916.656653,2733.187795,2844.409933,2912.712541,2606.566918,2727.619284,2743.165918,2641.068853,2591.223618,2889.705977,2916.656653,2733.187795,2844.409933,2912.712541,2606.566918,2727.619284
3026.033085,3175.769904,3215.448976,3212.714451,3130.592299,3103.911784,3035.416041,3280.937334,3005.791111,2998.027785,3026.033085,3175.769904,3215.448976,3212.714451,3130.592299,3103.911784,3035.416041,3280.937334,3005.791111,2998.027785
3535.62342,3406.548618,3336.831376,3656.968604,3502.916313,3405.696587,3523.836452,3254.019592,3497.574477,3335.85749,3535.62342,3406.548618,3336.831376,3656.968604,3502.916313,3405.696587,3523.836452,3254.019592,3497.574477,3335.85749
3335.811763,3075.07896,3412.32505,3166.663221,3256.340089,3451.259863,3269.67561,3412.515517,3265.161181,3396.470131,3335.811763,3075.07896,3412.32505,3166.663221,3256.340089,3451.259863,3269.67561,3412.515517,3265.161181,3396.470131
2722.164445,2873.743771,2777.085314,2622.895315,2567.518598,2736.981302,2825.899934,2866.941859,2783.311549,2872.261698,2722.164445,2873.743771,2777.085314,2622.895315,2567.518598,2736.981302,2825.899934,2866.941859,2783.311549,2872.261698
2287.588611,2321.387832,2119.395113,2301.442804,2144.544804,2255.800975,2162.026314,2311.098111,2249.856023,2199.167163,2287.588611,2321.387832,2119.395113,2301.442804,2144.544804,2255.800975,2162.026314,2311.098111,2249.856023,2199.167163
2057.96471,1970.670049,1998.953141,2099.176694,2059.487286,2031.539034,1947.729606,2149.177489,1983.621235,1983.378861,2057.96471,1970.670049,1998.953141,2099.176694,2059.487286,2031.539034,1947.729606,2149.177489,1983.621235,1983.378861
